product,profit, bougt_date, discount,salary
   A, 50, 2016-12-01, 5,   25
   A, 50, 2017-01-03, 4,   20
   B, 200,2016-12-24, 10,  100
   A, 50, 2017-01-18, 3,   0
   B, 200,2017-01-28, 15,  80
   A, 50, 2017-01-18, 6,   15
   B, 200,2017-01-28, 20,  0
   A, 50, 2017-04-18, 6,   0
   B, 200,2017-12-08, 25,  0
   A, 50, 2017-11-18, 6,   20
   B, 200,2017-08-21, 20,  90
   B, 200,2017-12-28, 30,  110
   A, 50, 2018-03-18, 10,  0
   B, 300,2018-06-08, 45,  100
   B, 300,2018-09-20, 50,  60
   A, 50, 2018-11-18, 8,   45
   B, 300,2018-11-28, 35,  0